time,exchange_rate,kr_interest_rate,us_interest_rate,oil_price,kr_price_index,apt1_price,apt1_price_rate,apt2_price,apt2_price_rate,my_land_price,my_land_price_rate
2000-01-01,1131.07,4.75,5.5,25.51,62.456,,,,,896000,0
2000-07-01,1114.86,5,6.5,28.68,62.962,,,,,,
2001-01-01,1272.82,5.25,6,25.62,64.604,,,,,885000,-0.012276786
2001-07-01,1302.6,4.75,3.75,24.61,65.992,,,,,,
2002-01-01,1317.6,4,1.75,19.42,66.308,,,,,988000,0.116384181
2002-07-01,1185.12,4.25,1.75,25.74,67.382,,,,,,
2003-01-01,1179.27,4.25,1.25,31.18,68.835,,,,,1120000,0.133603239
2003-07-01,1181.59,3.75,1,28.35,69.53,,,,,,
2004-01-01,1184.32,3.75,1,31.28,71.172,,,,,1290000,0.151785714
2004-07-01,1157.66,3.75,1.25,38.22,72.561,,,,,,
2005-01-01,1038.23,3.25,2.25,44.51,73.594,,,,,1450000,0.124031008
2005-07-01,1037.44,3.25,3.25,57.52,74.413,,,,,,
2006-01-01,987.03,3.75,4.25,62.99,75.231,,,,,1450000,0
2006-07-01,950.15,4.25,5.25,73.67,76.199,,,,,,
2007-01-01,936.36,4.5,5.25,53.68,76.496,,,,,1880000,0.296551724
2007-07-01,918.85,4.75,5.25,76.93,78.134,,,,,,
2008-01-01,942.39,5,3.5,92.18,79.472,,,,,2030000,0.079787234
2008-07-01,1019.12,5,2,132.72,82.747,,,,,,
2009-01-01,1346.1,2.5,0.25,43.44,82.45,,,7.8,0.026315789,2000000,-0.014778325
2009-07-01,1263.97,2,0.25,64.44,84.086,,,8.2,0.012345679,,
2010-01-01,1138.82,2,0.25,76.17,85.351,,,8,0.012658228,2080000,0.04
2010-07-01,1207.3,2.25,0.25,75.58,86.214,,,7.9,0,,
2011-01-01,1120.07,2.75,0.25,96.52,88.288,,,8.1,0.038461538,2120000,0.019230769
2011-07-01,1059.5,3.25,0.25,116.97,90.102,,,8,0.012658228,,
2012-01-01,1145.85,3.25,0.25,110.69,91.242,,,7.9,-0.0125,2230000,0.051886792
2012-07-01,1143.36,3,0.25,102.62,91.432,,,7.9,0,,
2013-01-01,1065.35,2.75,0.25,112.96,92.728,,,7.8,0,2380000,0.067264574
2013-07-01,1127.23,2.5,0.25,107.93,92.909,,,7.4,-0.013333333,,
2014-01-01,1064.75,2.5,0.25,108.12,93.73,,,7.1,-0.02739726,2552000,0.072268908
2014-07-01,1019.93,2.5,0.25,106.77,94.386,,,7.2,0.014084507,,
2015-01-01,1088.86,2,0.25,47.76,94.643,,,7.2,0,2679000,0.04976489
2015-07-01,1143.22,1.5,0.25,56.56,95.08,,,7.6,0.013333333,,
2016-01-01,1201.67,1.5,0.5,30.7,95.232,,,7.7,0,2924000,0.091452034
2016-07-01,1144.09,1.25,0.5,44.95,95.431,,,8.1,0.0125,,
2017-01-01,1185.1,1.25,0.75,54.58,97.366,,,8.4,0,3217000,0.100205198
2017-07-01,1134.4,1.25,1.25,48.48,97.499,,,9,0.022727273,,
2018-01-01,1066.7,1.5,1.5,69.08,98.106,,,10.8,0.058823529,3696000,0.148896487
2018-07-01,1122.8,1.5,2,74.25,98.59,,,12.8,0.015873016,,
2019-01-01,1122,1.75,2.5,59.41,98.884,,,13.1,-0.02238806,4136000,0.119047619
2019-07-01,1175.31,1.5,2.5,63.92,99.187,,,14.1,0.02919708,,
2020-01-01,1164.28,1.25,1.75,63.65,100.09,12.3,,15.4,0.054794521,4371000,0.056818182
2020-07-01,1198.9,0.5,0.25,43.24,99.63,12.6,0.041322314,16.1,0.059210526,,
2021-01-01,1097.49,0.5,0.25,54.77,101.04,13.8,0.014705882,17.6,0.029239766,5000000,0.143902997
2021-07-01,1143.98,0.5,0.25,75.17,102.26,15.3,0,18.6,0.033333333,,
2022-01-01,1194.01,1.25,0.25,86.51,104.85,15.8,0.012820513,20.2,0,5605000,0.121
2022-07-01,1307.4,2.25,2.5,111.93,108.73,14.8,-0.057324841,20.3,-0.009756098,,
2023-01-01,1247.25,3.5,4.5,82.5,110.07,12,0.008403361,17.2,-0.017142857,5316000,-0.051561106
2023-07-01,1286.3,3.5,5.5,80.11,111.29,12.8,-0.007751938,18.6,0.027624309,,
2024-01-01,1323.57,3.5,5.5,80.12,113.15,12.9,0,17.3,-0.028089888,5313000,-0.0056
2024-07-01, 1383.38,3.5,5.5,85.15,114.13,15.2,0.178294574,18.5,0.04519774,,


